t_sec,x_m,y_m
0.000000,0.068081,0.025022
0.020000,0.068081,0.025022
0.040000,0.068081,0.025022
0.060000,0.068081,0.025022
0.080000,0.068081,0.025022
0.100000,0.068081,0.025022
0.120000,0.068081,0.025022
0.140000,0.068081,0.025022
0.160000,0.068081,0.025022
0.180000,0.068081,0.025022
0.200000,0.068081,0.025022
0.220000,0.068081,0.025022
0.240000,0.068081,0.025022
0.260000,0.068081,0.025022
0.280000,0.068081,0.025022
0.300000,0.068081,0.025022
0.320000,0.068081,0.025022
0.340000,0.068081,0.025022
0.360000,0.068081,0.025022
0.380000,0.068081,0.025022
0.400000,0.068081,0.025022
0.420000,0.068081,0.025022
0.440000,0.068081,0.025022
0.460000,0.068081,0.025022
0.480000,0.068081,0.025022
0.500000,0.068081,0.025022
0.520000,0.068081,0.025022
0.540000,0.068081,0.025022
0.560000,0.068081,0.025022
0.580000,0.068081,0.025022
0.600000,0.068081,0.025022
0.620000,0.068081,0.025022
0.640000,0.068081,0.025022
0.660000,0.068081,0.025022
0.680000,0.068081,0.025022
0.700000,0.068081,0.025022
0.720000,0.068081,0.025022
0.740000,0.068081,0.025022
0.760000,0.068081,0.025022
0.780000,0.068081,0.025022
0.800000,0.068081,0.025022
0.820000,0.068081,0.025022
0.840000,0.068081,0.025022
0.860000,0.068081,0.025022
0.880000,0.068081,0.025022
0.900000,0.068081,0.025022
0.920000,0.068081,0.025022
0.940000,0.068081,0.025022
0.960000,0.068081,0.025022
0.980000,0.068081,0.025022
1.000000,0.068081,0.025022
1.020000,0.068081,0.025022
1.040000,0.068081,0.025022
1.060000,0.068081,0.025022
1.080000,0.068081,0.025022
1.100000,0.068081,0.025022
1.120000,0.068081,0.025022
1.140000,0.068081,0.025022
1.160000,0.068081,0.025022
1.180000,0.068081,0.025022
1.200000,0.068081,0.025022
1.220000,0.068081,0.025022
1.240000,0.068081,0.025022
1.260000,0.068081,0.025022
1.280000,0.068081,0.025022
1.300000,0.068081,0.025022
1.320000,0.068081,0.025022
1.340000,0.068081,0.025022
1.360000,0.068081,0.025022
1.380000,0.068081,0.025022
1.400000,0.068081,0.025022
1.420000,0.068081,0.025022
1.440000,0.068081,0.025022
1.460000,0.068081,0.025022
1.480000,0.068081,0.025022
1.500000,0.068081,0.025022
1.520000,0.068081,0.025022
1.540000,0.068081,0.025022
1.560000,0.068081,0.025022
1.580000,0.068081,0.025022
1.600000,0.068081,0.025022
1.620000,0.068081,0.025022
1.640000,0.068081,0.025022
1.660000,0.068081,0.025022
1.680000,0.068081,0.025022
1.700000,0.068081,0.025022
1.720000,0.068081,0.025022
1.740000,0.068081,0.025022
1.760000,0.068081,0.025022
1.780000,0.068081,0.025022
1.800000,0.068081,0.025022
1.820000,0.068081,0.025022
1.840000,0.068081,0.025022
1.860000,0.068081,0.025022
1.880000,0.068081,0.025022
1.900000,0.068081,0.025022
1.920000,0.068081,0.025022
1.940000,0.068081,0.025022
1.960000,0.068081,0.025022
1.980000,0.068081,0.025022
2.000000,0.068081,0.025022
2.020000,0.068081,0.025022
2.040000,0.068081,0.025022
2.060000,0.068081,0.025022
2.080000,0.068081,0.025022
2.100000,0.068081,0.025022
2.120000,0.068081,0.025022
2.140000,0.068081,0.025022
2.160000,0.068081,0.025022
2.180000,0.068081,0.025022
2.200000,0.068081,0.025022
2.220000,0.068081,0.025022
2.240000,0.068081,0.025022
2.260000,0.068081,0.025022
2.280000,0.068081,0.025022
2.300000,0.068081,0.025022
2.320000,0.068081,0.025022
2.340000,0.068081,0.025022
2.360000,0.068081,0.025022
2.380000,0.068081,0.025022
2.400000,0.068081,0.025022
2.420000,0.068081,0.025022
2.440000,0.068081,0.025022
2.460000,0.068081,0.025022
2.480000,0.068081,0.025022
2.500000,0.068081,0.025022
2.520000,0.068081,0.025022
2.540000,0.068081,0.025022
2.560000,0.068081,0.025022
2.580000,0.068081,0.025022
2.600000,0.068081,0.025022
2.620000,0.068081,0.025022
2.640000,0.068081,0.025022
2.660000,0.068081,0.025022
2.680000,0.068081,0.025022
