t_sec,x_m,y_m
0.000000,0.026583,0.092533
0.020000,0.026583,0.092533
0.040000,0.026583,0.092533
0.060000,0.026583,0.092533
0.080000,0.026583,0.092533
0.100000,0.026583,0.092533
0.120000,0.026583,0.092533
0.140000,0.026583,0.092533
0.160000,0.026583,0.092533
0.180000,0.026583,0.092533
0.200000,0.026583,0.092533
0.220000,0.026583,0.092533
0.240000,0.026583,0.092533
0.260000,0.026583,0.092533
0.280000,0.026583,0.092533
0.300000,0.026583,0.092533
0.320000,0.026583,0.092533
0.340000,0.026583,0.092533
0.360000,0.026583,0.092533
0.380000,0.026583,0.092533
0.400000,0.026583,0.092533
0.420000,0.026583,0.092533
0.440000,0.026583,0.092533
0.460000,0.026583,0.092533
0.480000,0.026583,0.092533
0.500000,0.026583,0.092533
0.520000,0.026583,0.092533
0.540000,0.026583,0.092533
0.560000,0.026583,0.092533
0.580000,0.026583,0.092533
0.600000,0.026583,0.092533
0.620000,0.026583,0.092533
0.640000,0.026583,0.092533
0.660000,0.026583,0.092533
0.680000,0.026583,0.092533
0.700000,0.026583,0.092533
0.720000,0.026583,0.092533
0.740000,0.026583,0.092533
0.760000,0.026583,0.092533
0.780000,0.026583,0.092533
0.800000,0.026583,0.092533
0.820000,0.026583,0.092533
0.840000,0.026583,0.092533
0.860000,0.026583,0.092533
0.880000,0.026583,0.092533
0.900000,0.026583,0.092533
0.920000,0.026583,0.092533
0.940000,0.026583,0.092533
0.960000,0.026583,0.092533
0.980000,0.026583,0.092533
1.000000,0.026583,0.092533
1.020000,0.026583,0.092533
1.040000,0.026583,0.092533
1.060000,0.026583,0.092533
1.080000,0.026583,0.092533
1.100000,0.026583,0.092533
1.120000,0.026583,0.092533
1.140000,0.026583,0.092533
1.160000,0.026583,0.092533
1.180000,0.026583,0.092533
1.200000,0.026583,0.092533
1.220000,0.026583,0.092533
1.240000,0.026583,0.092533
1.260000,0.026583,0.092533
1.280000,0.026583,0.092533
1.300000,0.026583,0.092533
1.320000,0.026583,0.092533
1.340000,0.026583,0.092533
1.360000,0.026583,0.092533
1.380000,0.026583,0.092533
1.400000,0.026583,0.092533
1.420000,0.026583,0.092533
1.440000,0.026583,0.092533
1.460000,0.026583,0.092533
1.480000,0.026583,0.092533
1.500000,0.026583,0.092533
1.520000,0.026583,0.092533
1.540000,0.026583,0.092533
1.560000,0.026583,0.092533
1.580000,0.026583,0.092533
1.600000,0.026583,0.092533
1.620000,0.026583,0.092533
1.640000,0.026583,0.092533
1.660000,0.026583,0.092533
1.680000,0.026583,0.092533
1.700000,0.026583,0.092533
1.720000,0.026583,0.092533
1.740000,0.026583,0.092533
1.760000,0.026583,0.092533
1.780000,0.026583,0.092533
1.800000,0.026583,0.092533
1.820000,0.026583,0.092533
1.840000,0.026583,0.092533
1.860000,0.026583,0.092533
1.880000,0.026583,0.092533
1.900000,0.026583,0.092533
1.920000,0.026583,0.092533
1.940000,0.026583,0.092533
